word	sentiment
Ächtung	-1.0
Ächzen	-0.7
Ähnlichkeit	0
Ängstlichkeit	-1.0
Ärger	-1.0
Ärsche	-0.7 
Ärsche	-1.0
Ästhetik	1.0
Ödheit	-1.0
Öffentlichkeit	0
Ölembargo	-1.0
Ölpisser	-1.0
Özdemirs	-1.0
Özdingens	-0.7
Özdingens	-1.0
ÜBERWACHUNGSKRIEG	-1.0
Übelkeit	-1.0
Überängstlichkeit	-1.0
Überaktivität	-0.7
Überbevölkerung	-1.0
Überdruss	-1.0
Überempfindlichkeit	-0.7
Überernährung	-1.0
Überfall	-0.7
Überflutung	-0.3
Überflutung	-1.0
Überforderung	-1.0
Übergewicht	-1.0
Übergewichtige	-1.0
Übergriff	-1.0
Übergutmensch	-1.0
Überhand	-1.0
Überheblichkeit	-0.7
Überlegenheitsgefühl	-1.0
Übermacht	-0.7
Übermut	-0.7
Überreaktion	-0.7
Überschreiten	-0.7
Überschreitung	-0.7
Überschwang	1.0
Überschwenglichkeit	-1.0
Übertretung	-0.7
ächten	-1.0
ächzen	-1.0
ängsten	-1.0
ängstigen	-1.0
ängstlich	-0.7
ärgerlich	-1.0
ärgern	-1.0
ärmlich	-0.7
ästhetisch	1.0
ästimieren	1.0
ätzend	-1.0
öde	-1.0
öden	-1.0
ölig	-0.7
übel	-1.0
übel_gesinnt	-1.0
übel_nehmen	-1.0
übel_wollend	-1.0
übelgesinnt	-1.0
übellaunig	-1.0
übelnehmen	-1.0
übelwollend	-1.0
überanstrengen	-0.7
überarbeiten	-0.7
überarbeitet	-0.7
überbeanspruchen	-1.0
überbelasten	-0.7
überbelastet	-0.7
überbezahlten	-1.0
überbordend	1.0
überdehnen	-0.7
überdreht	-0.7
übereifrig	-0.7
übereinkommen	0.7
übereinstimmend	1.0
überempfindlich	-1.0
überfüllt	-1.0
überfallen	-1.0
überflüßige	-1.0
überflüssig	-0.7
überflüssigste	-1.0
überfordern	-0.7
überfordert	-1.0
übergehen	-0.7
übergewichtig	-0.7
überglücklich	1.0
überhöht	-1.0
überheblich	-0.7
überkandidelt	-1.0
überlasten	-0.7
überlastet	-0.7
überlaufen	-1.0
überlegen	0.7
überlegt	1.0
übermässig	-1.0
übermotiviert	-1.0
überordnen	0.7
überqualifiziert	-1.0
überragend	1.0
überraschend	0.7
überreagieren	-1.0
überreif	-1.0
übersät	-1.0
übersättigt	-0.7
überschätzen	-0.7
überschäumend	1.0
überschnappen	-1.0
überschreiten	-1.0
überschwemmen	-1.0
überspannt	-0.7
überstrapazieren	-1.0
übertölpeln	-0.7
übertreiben	-0.7
übertreten	-1.0
übertrieben	-1.0
übervorteilen	-0.7
überwältigen	1.0
überwältigend	1.0
überwachen	-1.0
überwinden	1.0
überzeugen	1.0
überzeugend	1.0
überzeugt	1.0
überzogen	-1.0
üppig	0.7
#Invasoren-#Abschaum	-1.0
#PoliticalCorrectness-geistesgestörten	-1.0
#bahnstreik	-1.0
-schädigen-	-1.0
9/11	-1.0
:(	-0.7
ABARTIGKEIT	-1.0
AIDS	-1.0
ALLES	-0.3
ANTIDEUTSCHEn	-1.0
ANTIdemokraten	-1.0
ARABER	-0.7
ASYLTERROR	-1.0
Aasfresser	-1.0
Abart	-0.7
Abbau	-0.7
Abbildung	0
Abbitte	0.7
Abbruch	-1.0
Abenteuerlust	1.0
Abfälligkeit	-1.0
Abfall	-1.0
Abfallbeseitigung	-1.0
Abfallentsorgung	-1.0
Abfallwirtschaft	-1.0
Abfeuern	-1.0
Abgang	-1.0
Abgebrühtheit	-1.0
Abgedroschenheit	-1.0
Abgeneigtheit	-1.0
Abgeordnet	0
Abgeschiedenheit	-0.7
Abgeschmacktheit	-1.0
Abgespanntheit	-0.7
Abgestumpftheit	-1.0
Abhängigkeit	-0.7
Abhärtung	0.7
Abholzung	-1.0
